text_id,text,original_code,replicated_code,model_code,reason
23,"In the heart of this vision arrival Trofim Lysenko, a self-taught geneticist who promised to transform the desert into the garden of Eden Russian cargo of wheat.",0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook.
24,"Earths temperature system cannot be adequately measured or controlled. Mathematical criteria devised in the 1960s that ensure a system is measurable, observable and controllable are not satisfied.",5.1,5.1,5.1,"The text is questioning the reliability and soundness of the methods used to measure and control Earth's temperature system, which falls under the category of code 5.1. The text does not deny the existence of climate change or attribute it to any specific cause, but rather questions the ability to accurately measure and control it."
25,The 2014/15 El Nio Part 8 The Southern Oscillation Indices,0.0,0.0,1.7,"Reasoning: The text does not provide any information related to the causes or effects of climate change. Therefore, none of the codes related to climate change denial or acceptance are applicable. The only code that could potentially apply is 1.7, as it mentions extreme weather events, but the text does not provide any information on whether or not these events are linked to climate change. Therefore, the most applicable code is 0.0, as none of the codes in the codebook apply to this text."
26,MCA period may have been more climatically extreme than in modern times.,1.7,2.1,2.1,"Reasoning: The statement suggests that the climate has gone through natural cycles and variations in the past, which aligns with code 2.1. There is no mention of any other codes, such as denying climate change or the effectiveness of climate policies."
27,Baos research is funded by the National Science Foundation and by the Chinese Academy of Sciences.,0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook.
28,"A recent paper published by the Journal of Atmospheric and Solar Terrestial Physics (74) 2012 87-93 and authored by Souza Echer et al. suggests that solar cycles, to a substantial extent, drive global temperatures, and that likely through amplification mechanisms.",2.1,2.1,2.1,"Reasoning: The text suggests that global temperatures are driven by natural cycles, specifically solar cycles. This aligns with code 2.1, which refers to climate change being attributed to natural cycles and variations."
29,"17.	""Law on financial support for renewable energies "" No. Policies which mimic the style of controlled economies will torpedo the Social Market Economy, the basic pillar of our prosperity.",0.0,4.1,4.1,"Reasoning: The text is criticizing a specific policy related to renewable energies, suggesting that it will harm the economy. This aligns with code 4.1, which pertains to the belief that climate policies (mitigation or adaptation) are harmful."
30,"??an unusually rapid decline. It?s a very active research topic at the present time, but we do think there is a mechanism in place where we should expect more cold winters when solar activity is low.?",0.0,1.3,2.1,"Reasoning: The text suggests that the cause of the ""unusually rapid decline"" is related to solar activity, which is a natural cycle/variation. Therefore, the most applicable code is 2.1."
31,"Ice core drilling in the fast ice off Australias Davis Station in East Antarctica by the Antarctic Climate and Ecosystems Co-Operative Research Centre shows that last year, the ice had a maximum thickness of 1.89m, its densest in 10 years. The average thickness of the ice at Davis since the 1950s is 1.67m.",1.1,1.1,1.1,"1.1 - The text mentions ice cover and how it has not melted, which aligns with the code for ""Ice/permafrost/snow cover isn't melting."""
32,"Climate models are unable to replicate the observed behavior in the patterns of changes in the daily temperature range. Instead, the models warm daily high temperatures too fastprobably because they dont account properly for cloud dynamics.",5.1,5.1,5.1,"Reasoning: The text is discussing the limitations of climate models and their inability to accurately replicate observed temperature patterns. This aligns with code 5.1, which pertains to criticisms of climate-related science, including data, methods, and models."
33,Why didnt CRU use this dataset in Briffa et al 2013 instead of the inadequately replicated dataset that it reported on? Did CRU attempt to obtain access to this data and receive a rejection? And why didnt CRU report the existence of Shiyatovs crossdated dataset in its review of previous work at Polar Urals?,5.2,5.1,5.1,"Reasoning: The text is questioning the reliability and soundness of the data and methods used by the Climate Research Unit (CRU) in their research on climate change. This aligns with code 5.1, which pertains to uncertainty and unreliability of climate-related science."
34,"At the NATO summit in Riga in November 2006, a little-noticed transatlantic revolution of sorts finally occurred when the Atlantic Alliance acknowledged that it would have to ""go global"" in order to remain relevant. Divided, America and Europe will fall; united, they can retain the lead. But all manners of ""going global"" are not equal, and the coming globalization of NATO is as much full of promises as it is fraught with perils.",0.0,0.0,0.0,"Reasoning: The text does not mention anything related to climate change or any of the codes in the codebook. Therefore, none of the codes apply."
35,"As readers no doubt know, I have previously obtained a great deal of Sir John Beddington??s correspondence around the Climategate affair. As evidence of Sir John??s involvement in setting up the whitewashes grows, I started to wonder about the information that Sir John??s office had said they had withheld for one reason or another. In particular I wondered what was covered by this:",5.2,1.0,5.2,"Reasoning: The text mentions ""Climategate affair"" which suggests skepticism or criticism of climate science. The mention of ""whitewashes"" and withheld information also implies a belief in a cover-up or conspiracy. Therefore, code 5.2, which pertains to skepticism of the climate movement and accusations of bias or deception, is the most applicable."
36,"It certainly is NUTS to the average taxpayer who is funding this through their utility bill, in fact it is the height of absolute lunacy)",0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook.
37,"United Kingdom manufacturers say ""green energy"" policies and increased penalties for using fossil fuels are raising their costs to intolerable levels, especially for energy-intensive industries. Manufacturing is ""reaching a tipping point,"" they say, ""where companies that are internationally mobile will say ""enough is enough,'"" and simply move to Asia. Millions of jobs are on the line.",4.1,4.3,4.1,"The text is discussing the negative impact of climate policies on manufacturing industries, specifically the increased costs associated with ""green energy"" policies and penalties for using fossil fuels. This aligns with code 4.1, which pertains to the harmful effects of climate policies."
38,"CEI Today: Internet sales tax, Exxon-Mobil's carbon tax, and the anti-immigration sentiment",0.0,0.0,0.0,"The text does not mention anything related to climate change, so none of the codes in the codebook apply."
39,"Ive been working on adaptation for the last 10 years in the Least Developed Countries of Africa and Asia, and Bangladesh is several steps ahead of anybody else.",0.0,0.0,0.0,0.0 - This text does not mention any of the codes in the codebook related to climate change denial or skepticism.
40,"Denmark was responsible in 2010 for about 0.15% of the worlds human emissions of CO2. Global temperatures by 2100 should rise by less than 3C. If their emissions dont change, the Danes are therefore likely to be responsible for up to about 3 0.0015 = 0.0045C of that global temperature rise, which nobody will detect in the environment. For that undetectable reward, they will endure much.",4.2,0.0,2.5,"2.5 - The text suggests that Denmark's emissions of CO2 are miniscule and not significant enough to cause a detectable impact on global temperature rise. This aligns with code 2.5, which states that human CO2 emissions are miniscule/not raising atmospheric CO2."
41,"Thats where we are now with GHGs. We are going to get more or less GHG regulation over time depending on who is in the White House and whether the particular GHG regulations that EPA issues are legally defensible. Thus, each regulation is going to have to be attacked (or defended) on the merits. My own view is that EPAs latest GHG proposal, for new source performance standards for coal-based electric generation, is not legally defensible and will be overturned in Court. But there will be many more GHG regulations to come, and we are in for another long, hard rule-by-rule slog under the CAA, in this case to shape the timing and stringency of GHG regulation in this country.",0.0,4.2,4.2,"4.2 - The text discusses the effectiveness and legality of GHG regulations, indicating a skepticism towards climate policies. This aligns with code 4.2, which states that climate policies are ineffective/flawed."
42,"According to GlobalData, coal was the leading source of power generation in India last year, with 160 GW, accounting for 59 per cent of installed capacity, and this is expected to almost double by 2025.",0.0,0.0,4.5,"Reasoning: The text does not make any claims or statements related to climate change or its impacts. It simply provides information about the leading source of power generation in India and its expected growth. Therefore, none of the codes related to climate change apply except for 4.5, which acknowledges the need for energy from sources such as fossil fuels and nuclear power."
43,Thats odd. The paper thats the subject of the press release doesnt come to the conclusion that global warming is causing the migratory practices of the studied sea birds.,0.0,5.2,1.7,"1.7 - The text suggests that extreme weather (in this case, the migratory practices of sea birds) is not linked to climate change, as the paper being discussed does not come to that conclusion."
44,"Sadly, his book on climate data, Towards a New Climate Description: Analysis of Forcing and Response Time Series from Tartu University Press, finally came out just before he passed.",0.0,0.0,0.0,0.0 - This text does not contain any content related to climate change.
45,"Now are you going to hear me start yapping that an amazing flip like this over 1-2% of the globe is a sign of global cooling. Of course not since that is pure nonsense. However arguing a cooling trend may be starting because of the cold PDO, which can be seen here with the 3 year meter temperature trend FOR THE ENTIRE GLOBE is something that should be considered.",1.2,1.0,2.1,"Reasoning: The text suggests that the current cooling trend may be due to natural cycles and variations, specifically the Pacific Decadal Oscillation (PDO). This aligns with code 2.1, which refers to climate change being attributed to natural cycles and variations."
46,"""Tell me what Salon says about the polar bear scene.""",0.0,0.0,0.0,0.0 - The text does not contain any information related to climate change or any of the codes in the codebook.
47,Truth n 10 The water vapour content of the air has been roughly constant since more than 50 years but the humidity of the upper layers of the troposphere has been decreasing: the IPCC foretold the opposite to assert its ???positive water vapour feedback?? with increasing CO2. The observed ???feedback?? is negative.,3.1,0.0,2.3,"Reasoning: The text is denying the evidence for the greenhouse effect and carbon dioxide driving climate change, specifically mentioning the negative feedback observed in relation to water vapor content and CO2. This aligns with code 2.3, which pertains to the denial of evidence for the greenhouse effect and carbon dioxide driving climate change."
48,JC comment: The first sentence of the abstract really caught my attention: Given that over the course of the next 1030 years the magnitude of natural decadal variations may rival that of anthropogenically forced climate change on regional scales I dont recall the climate establishment giving this one before. The implications of this is that the warming between 1970 or 1980 to 2000 should be operating under the same givens also.,2.1,0.0,2.1,"Reasoning: The text suggests that the author believes that climate change is a result of natural cycles and variations, rather than human activity. The statement about natural decadal variations rivaling anthropogenic climate change supports this interpretation. Therefore, the most applicable code is 2.1, which refers to natural cycles and variations as the cause of climate change."
49,"The DQA requires agencies, including NOAA, to ""ensure and maximize the quality, objectivity, utility, and integrity of information, including statistical information.""",0.0,0.0,0.0,0.0 - This text does not mention any of the topics covered in the codebook related to climate change.
50,The more logical explanation is that there are natural cycles in cloud cover which cause multi-decadal periods of global warming or global cooling.,2.1,2.1,2.1,"Reasoning: The text suggests that the cause of global warming or cooling is due to natural cycles, which aligns with code 2.1 - ""It's natural cycles/variation."" There is no mention of any other codes, such as denying the existence of climate change or the effectiveness of climate policies."
51,"In fact, the movie's very concept comes across as a forced attempt at a political statement. It's the first time director Roland Emmerich, whose previous hits include Godzilla, Independence Day, and The Patriot, has delved into a moribund genre: the disaster movie. Remember The Towering Inferno, Earthquake, The Poseidon Adventure, and the myriad Airport movies?",0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook as it does not discuss climate change or any related topics.
52,"The real wild card is in the behaviour of clouds, which have a number of strong effects (both on albedo and LW trapping) and could in theory cause a large further amplification or suppression of AGW-induced warming. High thin clouds trap a lot of LW (especially at night when their albedo has no effect) and low clouds increase albedo. We really dont know from first principles which effect is likely to dominate, we do know from first principles that these effects could be large, given our current state of knowledge. GCMs dont do clouds very well but they do mostly (all?) suggest some further amplification from these effects. Thats really all that can be done from first principles.",5.1,0.0,2.1,"Reasoning: The text suggests that the behavior of clouds could cause further amplification or suppression of AGW-induced warming, and that it is uncertain which effect is likely to dominate. This aligns with the code 2.1, which suggests that climate change is due to natural cycles/variation. The text does not provide evidence for any of the other codes."
53,"""Via the Blaze, the logical conclusion to weeks of Democratic demagoguery aimed at the Supremes' decision in the Citizens United case, which of course made it safe for swarthy foreigners to buy the election this year by donating to the Chamber of Commerce or something. This is almost too stupid to dignify with a response, but content is content.""",0.0,0.0,0.0,0.0 - This text does not relate to climate change in any way.
54,"A week ago, it emerged that the Oscar-winning film director had put his money where his mouth is by donating $1m of his personal fortune to opponents of Proposition 23, a ballot measure facing voters in California at the coming mid-term elections which would suspend the state's landmark law combating climate change. Supporters of the proposition weren't going to take that lying down, though. On Thursday, they returned fire by releasing a short film that claims to highlight a Titanic-sized gulf between Mr Cameron's somewhat magisterial proclamations regarding the importance of combating climate change, and his actual lifestyle.",5.2,0.0,4.2,"Reasoning: The text is discussing a political issue related to climate change, specifically the Proposition 23 ballot measure in California. The text implies that James Cameron's support for opponents of the measure is hypocritical because his personal lifestyle does not align with his proclamations about the importance of combating climate change. This suggests a criticism of climate policies and their effectiveness, which falls under code 4.2."
55,Sea level rise is not accelerating. In fact the recent rise since 1993 is similar to the 1930-1950 period.,1.6,1.6,1.6,"Reasoning: The text directly states that sea level rise is not accelerating and implies that it has been similar in the past, which aligns with code 1.6."
56,"Piltz talks about what he believes ExxonMobiil should do, and he's got every right to do so. But there is a big difference in his doing so and two U.S. Senators doing the same: He has no power to subpoena company executives into hearings or impose taxes or regulations. Yes, the Senators have free speech rights to say whatever they want, but there is a difference between their personal opinions and those they convey on behalf of their office.",0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook. It is discussing the difference between an individual's right to free speech and the power of elected officials to use their positions to influence policy.
57,"9 Hew Strachan, ""The Lost Meaning of Strategy,"" Survival (Autumn 2005); Julian Lindley-French, ""The Revolution in Security Affairs: Hard and Soft Security Dynamics in the 21st century,"" European Security 13 (2004); Mary Kaldor, ""Human Security: A New Strategic Narrative for Europe,"" International Affairs 83:2 (2007).",0.0,0.0,0.0,0.0 - This text is not related to climate change or any of the codes in the codebook.
58,"During the period 1900-1940, when most of the 20th century's one-degree Fahrenheit temperature increase occurred, there were 7 years of moderate-to-severe drought.",1.7,0.0,1.4,"The text is stating that there was a temperature increase during a specific time period, which contradicts the idea that climate hasn't warmed/changed over the last (few) decade(s) (code 1.4)."
59,"military nuclear program, it tests the other side's sincerity to see if there is a solid basis for negotiations. Yet there is",0.0,0.0,0.0,0.0 - This text does not relate to any of the codes in the codebook.
60,"Q: Dr. S. Fred Singer: Perhaps to clarify the discussion. We need to separate these results of model experiments - of course that's all they are are experiments with models, from scenarios of how CO2 will increase. These are two separate issues. As far as I can tell from the IPCC report, their estimate or their numbers for the what is call the ""climate sensitivity"" that is, how much temperature rise will be produced by doubling of CO2 alone, all other things being equal, has not changed since 1990. It is still estimated to be between 1.5 and 4.5 C for a doubling of CO2. And what Roy has addressed here is the fact that this is probably a faulty estimate because they have not taken into account the reduced feedback, perhaps even negative feedback, of water vapor and reduced, perhaps even negative feedback of clouds. So the climate sensitivity is the one we are interested in. I think many of us believe that these numbers, that the IPCC has given, are just plain wrong.",3.1,5.1,2.3,"The text is questioning the evidence for the greenhouse effect and carbon dioxide driving climate change, which falls under code 2.3. The speaker is suggesting that the estimate for climate sensitivity is faulty and that the feedback of water vapor and clouds may be negative, which would reduce the impact of CO2 on climate change. Therefore, the most applicable code is 2.3."
61,Nuccitelli gets a bruising by the factual hand of Monckton,0.0,0.0,5.2,"Reasoning: The text mentions two individuals, Nuccitelli and Monckton, and describes Nuccitelli as receiving a ""bruising"" from Monckton's ""factual hand."" This suggests that the text is discussing a disagreement or debate between the two individuals, and the use of the word ""factual"" implies that Monckton is presenting evidence to counter Nuccitelli's arguments. This aligns with code 5.2, which pertains to criticism of the climate movement and its members as being biased or wrong."
62,"The dynamical trends were similar in the observations and the model simu- lations, except that the dynamical effect was much larger in the observations than in both model experiments. In other words, the dynamical effects are clearly present in the state-of-the-art global climate models, but they are much too small to match the data.",5.1,5.1,5.1,"The text discusses the comparison between observations and model simulations in regards to dynamical effects in global climate models. This suggests a discussion of the reliability and accuracy of climate models, which falls under the category of uncertain/unsound/reliable climate-related science. Therefore, the most applicable code is 5.1."
63,"Therefore, even some of those scientists Lord Monckton relies upon agree with PSI that any increase in CO2 actually cools the atmosphere contrary to the some warming assertion his lordship monotonously repeats.",2.3,1.2,2.3,"The text is denying the greenhouse effect and the role of carbon dioxide in driving climate change. Specifically, it mentions that some scientists agree with the idea that an increase in CO2 actually cools the atmosphere, which contradicts the ""some warming assertion"" made by Lord Monckton. This aligns with code 2.3, which states ""There's no evidence for greenhouse effect/carbon dioxide driving climate change."""
64,"The EPA regulations are said to be necessary to reduce greenhouse gas emissions, primarily carbon dioxide (CO2) which the Greens deem to be a pollutant in our atmosphere. It is not a pollutant, despite a Supreme Court decision that identifies it as such, but rather a gas vital to all life on Earth, used by all vegetation for its growth. CO2 is to vegetation what oxygen is to all animal life. Humans, all seven billion of us, exhale CO2!",3.3,3.3,3.3,"Reasoning: The text argues that CO2 is not a pollutant and is actually beneficial to vegetation growth. This aligns with code 3.3, which states that CO2 is beneficial and not a pollutant. The text also argues against the idea that CO2 should be regulated, which does not fit with any of the other codes. Therefore, the most applicable code is 3.3."
65,"Craig D. Idso received his B.S. in Geography from Arizona State University, his M.S. in Agronomy from the University of Nebraska Lincoln, and his Ph.D. in Geography from Arizona State University. Dr. Idso has published scientific articles on issues related to data quality, the growing season, the seasonal cycle of atmospheric CO2, world food supplies, coral reefs, and urban CO2 concentrations, the latter of which he investigated via a National Science Foundation grant as a faculty researcher in the Office of Climatology at Arizona State University. In addition, he has lectured in Meteorology at Arizona State University, and in Physical Geography at Mesa and Chandler-Gilbert Community Colleges.",0.0,0.0,0.0,Reasoning: The text does not contain any statements related to climate change or any of the codes in the codebook.
66,"So does Figure 1 falsify the CO2 hypothesis? Not yet, weve got a ways to go, but it is an interesting finding. First, we need to look at the two explanations postulated by the good folks at the IPCC that I quoted at the head of the postvolcanoes and solar variations. And the amount that we are looking to explain is a missing increase of 1.6 W/m2 per decade.",0.0,1.0,2.3,"The text is discussing the CO2 hypothesis and questioning its validity. The mention of the IPCC and the need to explain a missing increase in energy per decade suggests a discussion of the greenhouse effect and the role of carbon dioxide in climate change. The code 2.3, ""There's no evidence for greenhouse effect/carbon dioxide driving climate change,"" is the most applicable as the text is questioning the evidence for the CO2 hypothesis."
67,"Margaret River News, sport and weather | Augusta-Margaret River …",0.0,0.0,0.0,0.0 - The text does not contain any information related to climate change or any of the codes in the codebook.
68,"How reassuring that must have seemed in July. I suggest they send their opinion pollsters back and ask the public again now, preferably starting with cold and angry rail passengers. Bizarrely, given that one of the authors employed to write the report was Chris Green, former chief executive of Virgin Railways, it hardly mentions railways or airports.",0.0,0.0,0.0,0.0 - This text does not mention any of the codes related to climate change.
69,Early action crediting stirred up controversy because it was a strategy to mobilize lobbying for cap-and-trade. Emission-reduction credits worth peanuts or nothing at all in a free market can be worth millions in a carbon-constrained market. Thus every early actor has an incentive to lobby for a cap.,0.0,4.1,4.2,"Reasoning: The text is discussing the controversy surrounding early action crediting as a strategy to mobilize lobbying for cap-and-trade. This suggests a critical view of climate policies and their effectiveness, which aligns with code 4.2 - ""Climate policies are ineffective/flawed."""
70,"Yes, Im using the term Mulligan as in a replayed golf shot. Ocean-atmosphere processes have consumed most of the warm water in the eastern equatorial Pacific from the downwelling (warm) Kelvin wave that had crossed the Pacific earlier this year. But we recently discussed and illustrated how a pool of subsurface warm water had broken off that Kelvin wave, returned west, and has now fed back into the western equatorial Pacificpriming the equatorial Pacific once again. (See Part 14 Warm Water Recirculated? ) With that recent restocking of warm water in the western equatorial Pacific, it looks like Mother Nature might be giving El Nio a second chance to develop this year.",0.0,1.0,0.0,0.0 - This text does not contain any statements related to climate change or any of the codes in the codebook.
